序号,论文标题,相关链接,论文编号,被引次数
35,Privacy-Preserving Distributed Mining of Association Rules on Horizontally Partitioned Data.,"<a href=""http://www.bell-labs.com/user/minos/DMKD02/Papers/kantarcioglu.pdf""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>","=""http://www.bell-labs.com/user/minos/DMKD02/Papers/kantarcioglu.pdf",被引次数暂无
36,Algebraic specification of association rule queries.,"<a href=""https://doi.org/10.1117/12.460214""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1117/12.460214,1
37,Discovering fuzzy spatial association rules.,"<a href=""https://doi.org/10.1117/12.460216""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1117/12.460216,1
38,Study and improvement on hierarchical algorithm of association rule.,"<a href=""https://doi.org/10.1117/12.460215""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1117/12.460215,0
39,Extraction of Primitive Motion and Discovery of Association Rules from Human Motion Data.,"<a href=""https://doi.org/10.1007/3-540-45884-0_24""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/3-540-45884-0_24,6
40,Composition of Mining Contexts for Efficient Extraction of Association Rules.,"<a href=""https://doi.org/10.1007/3-540-45876-X_9""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/3-540-45876-X_9,8
41,Relational Association Rules: Getting WARMeR.,"<a href=""https://doi.org/10.1007/3-540-45728-3_10""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/3-540-45728-3_10,29
42,Constraint-Based Discovery and Inductive Queries: Application to Association Rule Mining.,"<a href=""https://doi.org/10.1007/3-540-45728-3_9""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/3-540-45728-3_9,5
43,Concise Representations of Association Rules.,"<a href=""https://doi.org/10.1007/3-540-45728-3_8""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/3-540-45728-3_8,31
44,Discovering Association Rules using the Formal Concept Analysis.,"<a href=""https://dblp.org/rec/conf/f-egc/YahiaS02.html""><img alt="""" class=""icon"" src=""https://dblp.org/img/info.dark.hollow.16x16.png""/>no references &amp; citations available</a>","=""https://dblp.org/rec/conf/f-egc/YahiaS02.html",被引次数暂无
